make,model,variant,year,age,engine_cc,transmission,fuel_type,mileage_km,registered_city,bonnet,roof,trunk,front_left_door,front_right_door,rear_left_door,rear_right_door,front_left_fender,front_right_fender,rear_left_fender,rear_right_fender,pieces_paint_no_putty,pieces_with_putty,pieces_replaced,total_pieces_damaged,seals_intact,accidental,is_total_genuine,price_in_lacs,price_pkr
Hyundai,Elantra,GLS 2.0,2024,0,2000,Automatic,Petrol,6239,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,1,0,0,1,1,0,0,67.2,6720000
Suzuki,Swift (Old),DLX 1.3,2021,3,1300,Manual,Petrol,28095,Lahore,putty,genuine,genuine,putty,putty,putty,replaced,putty,touchup_no_putty,replaced,putty,1,6,2,9,1,0,0,11.7,1170000
Toyota,Prius,1.8 S,2020,4,1800,Automatic,Hybrid,42095,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,42.1,4210000
Hyundai,Elantra,GLS 2.0,2022,2,2000,Automatic,Petrol,36734,Rawalpindi,touchup_no_putty,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,putty,genuine,genuine,genuine,3,1,0,4,1,0,0,54.15,5415000
Toyota,Corolla,Altis 1.6,2019,5,1600,Automatic,Petrol,71418,Lahore,putty,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,genuine,touchup_no_putty,1,2,0,3,1,0,0,42.3,4230000
Changan,Karvaan,Plus,2023,1,1000,Manual,Petrol,3348,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,26.2,2620000
KIA,Stonic,EX+,2022,2,1400,Automatic,Petrol,22146,Lahore,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,46.1,4610000
Toyota,Yaris,ATIV 1.3 CVT,2021,3,1300,Automatic,Petrol,47070,Islamabad,genuine,genuine,putty,genuine,putty,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,1,2,0,3,1,0,0,34.75,3475000
Honda,City,Aspire 1.5 Prosmatec,2017,7,1500,Automatic,Petrol,108820,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,28.3,2830000
Daihatsu,Mira,ES,2013,11,660,Automatic,Petrol,132719,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,16.7,1670000
Honda,City,i-DSI 1.3,2007,17,1300,Manual,Petrol,171918,Sialkot,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,8.0,800000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2022,2,1500,Automatic,Petrol,33864,Unregistered,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,78.4,7840000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2022,2,1500,Automatic,Petrol,25034,Lahore,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,3,0,0,3,1,0,0,76.0,7600000
Toyota,Corolla,Altis Grande 1.8,2018,6,1800,Automatic,Petrol,86672,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,51.7,5170000
Suzuki,Swift,GLX CVT,2024,0,1200,Automatic,Petrol,3649,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,49.6,4960000
Hyundai,Elantra,GLS 2.0,2024,0,2000,Automatic,Petrol,5670,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,69.95,6995000
Honda,Civic,Rebirth 1.8 VTi Oriel,2015,9,1800,Automatic,Petrol,91886,Lahore,putty,genuine,putty,replaced,putty,putty,putty,touchup_no_putty,genuine,touchup_no_putty,putty,2,6,1,9,1,0,0,14.8,1480000
Toyota,Corolla,Altis Grande 1.8,2022,2,1800,Automatic,Petrol,33683,Islamabad,genuine,genuine,genuine,genuine,putty,putty,genuine,genuine,genuine,genuine,genuine,0,2,0,2,1,0,0,60.9,6090000
Honda,Civic,Reborn 1.8 Prosmatec,2008,16,1800,Automatic,Petrol,269555,Islamabad,putty,genuine,putty,putty,putty,putty,putty,putty,touchup_no_putty,putty,touchup_no_putty,2,8,0,10,1,0,0,8.0,800000
Toyota,Yaris,ATIV 1.3 CVT,2022,2,1300,Automatic,Petrol,33324,Lahore,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,3,0,0,3,1,0,0,44.5,4450000
Toyota,Corolla,Altis Grande 1.8,2015,9,1800,Automatic,Petrol,74887,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,47.65,4765000
Suzuki,Mehran,VXR,2010,14,800,Manual,Petrol,157236,Rawalpindi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,touchup_no_putty,2,0,0,2,1,0,0,5.35,535000
MG,HS,Exclusive 1.5 Turbo,2022,2,1500,Automatic,Petrol,36167,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,66.05,6605000
Daihatsu,Mira,ES,2020,4,660,Automatic,Petrol,90189,Karachi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,putty,genuine,1,1,0,2,1,0,0,22.35,2235000
Hyundai,Sonata,2.5,2024,0,2500,Automatic,Petrol,1493,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,1,0,0,1,1,0,0,90.4,9040000
Toyota,Yaris,ATIV 1.3 CVT,2023,1,1300,Automatic,Petrol,12052,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,47.85,4785000
Daihatsu,Mira,ES,2014,10,660,Automatic,Petrol,106824,Lahore,genuine,genuine,putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,18.25,1825000
KIA,Sportage,AWD,2019,5,2000,Automatic,Petrol,48085,Unregistered,genuine,genuine,genuine,putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,60.35,6035000
Daihatsu,Mira,ES,2018,6,660,Automatic,Petrol,86933,Islamabad,putty,replaced,putty,touchup_no_putty,replaced,replaced,touchup_no_putty,touchup_no_putty,replaced,replaced,replaced,3,2,6,11,0,1,0,8.0,800000
KIA,Picanto,Automatic,2022,2,1000,Automatic,Petrol,23555,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,32.1,3210000
Honda,City,i-DSI 1.3,2005,19,1300,Manual,Petrol,314428,Karachi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,8.0,800000
Honda,Civic,Reborn 1.8 Prosmatec,2008,16,1800,Automatic,Petrol,262997,Multan,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,9.65,965000
KIA,Sportage,FWD,2020,4,2000,Automatic,Petrol,56326,Rawalpindi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,3,0,0,3,1,0,0,54.85,5485000
Suzuki,Swift (Old),DLX 1.3,2020,4,1300,Manual,Petrol,57218,Karachi,putty,genuine,putty,touchup_no_putty,putty,replaced,touchup_no_putty,putty,putty,putty,touchup_no_putty,3,6,1,10,1,0,0,11.15,1115000
Changan,Karvaan,Plus,2020,4,1000,Manual,Petrol,69181,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,22.95,2295000
Suzuki,Every,PA / Join,2023,1,660,Automatic,Petrol,8803,Faisalabad,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,25.5,2550000
Toyota,Hilux,Revo Rocco,2022,2,2800,Automatic,Diesel,24463,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,141.25,14125000
Toyota,Fortuner,Sigma 4 2.8 Diesel,2018,6,2800,Automatic,Diesel,72348,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,150.65,15065000
KIA,Sportage,FWD,2021,3,2000,Automatic,Petrol,49464,Faisalabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,60.65,6065000
Honda,City,1.3 i-VTEC,2009,15,1300,Manual,Petrol,193594,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,putty,genuine,1,1,0,2,1,0,0,14.85,1485000
Honda,Civic,1.8 i-VTEC Oriel (X),2019,5,1800,Automatic,Petrol,62480,Peshawar,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,2,0,0,2,1,0,0,41.4,4140000
Honda,BR-V,i-VTEC S,2023,1,1500,Automatic,Petrol,14919,Islamabad,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,3,0,0,3,1,0,0,40.65,4065000
Nissan,Dayz,Highway Star,2020,4,660,Automatic,Petrol,59909,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,2,0,0,2,1,0,0,19.65,1965000
Toyota,Corolla,Altis Grande 1.8,2022,2,1800,Automatic,Petrol,29520,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,72.8,7280000
Changan,Alsvin,1.5 Lumiere DCT,2023,1,1500,Automatic,Petrol,9240,Karachi,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,genuine,2,0,0,2,1,0,0,37.45,3745000
Suzuki,Mehran,VXR,2014,10,800,Manual,Petrol,156274,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,6.55,655000
Honda,City,1.3 i-VTEC,2012,12,1300,Manual,Petrol,216704,Faisalabad,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,1,1,0,2,1,0,0,16.7,1670000
Honda,Civic,Rebirth 1.8 VTi Oriel,2014,10,1800,Automatic,Petrol,134910,Faisalabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,2,0,0,2,1,0,0,20.55,2055000
Suzuki,Bolan,VX Euro II,2021,3,800,Manual,Petrol,39257,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,1,0,0,1,1,0,0,13.4,1340000
Daihatsu,Cuore,CX Eco,2005,19,800,Manual,Petrol,196835,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,5.1,510000
KIA,Stonic,EX+,2021,3,1400,Automatic,Petrol,40602,Islamabad,genuine,genuine,genuine,genuine,genuine,putty,genuine,genuine,genuine,genuine,genuine,0,1,0,1,1,0,0,41.65,4165000
Honda,Civic,Oriel 1.5 Turbo (11th Gen),2022,2,1500,Automatic,Petrol,35382,Lahore,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,2,0,0,2,1,0,0,77.2,7720000
Honda,Civic,RS Turbo 1.5,2018,6,1500,Automatic,Petrol,73821,Lahore,putty,putty,touchup_no_putty,putty,replaced,genuine,putty,genuine,putty,putty,putty,1,7,1,9,1,1,0,20.9,2090000
Suzuki,Every,PA / Join,2017,7,660,Automatic,Petrol,106236,Peshawar,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,17.35,1735000
Toyota,Hilux,Revo Rocco,2023,1,2800,Automatic,Diesel,17598,Islamabad,putty,genuine,touchup_no_putty,putty,touchup_no_putty,touchup_no_putty,replaced,putty,touchup_no_putty,touchup_no_putty,touchup_no_putty,6,3,1,10,1,0,0,106.1,10610000
Toyota,Corolla,GLi 1.3,2014,10,1300,Manual,Petrol,141450,Islamabad,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,genuine,3,0,0,3,1,0,0,22.35,2235000
Toyota,Aqua,Hybrid S,2019,5,1500,Automatic,Hybrid,62122,Lahore,touchup_no_putty,touchup_no_putty,putty,touchup_no_putty,genuine,putty,touchup_no_putty,putty,touchup_no_putty,putty,putty,5,5,0,10,1,0,0,19.45,1945000
Toyota,Yaris,ATIV X 1.5 CVT,2020,4,1500,Automatic,Petrol,56433,Lahore,putty,genuine,touchup_no_putty,putty,replaced,putty,putty,replaced,touchup_no_putty,touchup_no_putty,replaced,3,4,3,10,1,0,0,23.9,2390000
Honda,Civic,Rebirth 1.8 VTi Oriel,2013,11,1800,Automatic,Petrol,177750,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,2,0,0,2,1,0,0,20.45,2045000
Suzuki,Bolan,VX Euro II,2022,2,800,Manual,Petrol,26846,Rawalpindi,genuine,genuine,putty,putty,genuine,putty,genuine,genuine,genuine,genuine,genuine,0,3,0,3,1,0,0,12.8,1280000
Honda,City,1.3 i-VTEC,2015,9,1300,Manual,Petrol,114186,Islamabad,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,genuine,3,0,0,3,1,0,0,19.5,1950000
Honda,Civic,Rebirth 1.8 VTi Oriel,2013,11,1800,Automatic,Petrol,185469,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,19.15,1915000
Toyota,Hilux,Revo Rocco,2022,2,2800,Automatic,Diesel,42240,Faisalabad,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,genuine,2,0,0,2,1,0,0,137.05,13705000
Daihatsu,Cuore,CX Eco,2006,18,800,Manual,Petrol,290001,Peshawar,putty,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,1,1,0,2,1,0,0,4.15,415000
Suzuki,Mehran,VXR,2014,10,800,Manual,Petrol,119539,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,5.9,590000
Toyota,Corolla,Altis 1.6,2015,9,1600,Automatic,Petrol,129772,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,42.05,4205000
Toyota,Yaris,ATIV X 1.5 CVT,2022,2,1500,Automatic,Petrol,46112,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,2,0,0,2,1,0,0,45.8,4580000
Suzuki,Wagon R,VXL,2021,3,1000,Manual,Petrol,28917,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,2,0,0,2,1,0,0,28.05,2805000
Changan,Alsvin,1.5 Lumiere DCT,2022,2,1500,Automatic,Petrol,16696,Rawalpindi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,2,0,0,2,1,0,0,40.8,4080000
KIA,Picanto,Automatic,2022,2,1000,Automatic,Petrol,13596,Islamabad,putty,touchup_no_putty,touchup_no_putty,putty,touchup_no_putty,touchup_no_putty,putty,putty,putty,touchup_no_putty,touchup_no_putty,6,5,0,11,1,0,0,20.95,2095000
Toyota,Prius,1.8 S,2016,8,1800,Automatic,Hybrid,107738,Rawalpindi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,genuine,3,0,0,3,1,0,0,32.65,3265000
Toyota,Prius,1.8 S,2014,10,1800,Automatic,Hybrid,156294,Islamabad,touchup_no_putty,genuine,genuine,putty,genuine,genuine,genuine,genuine,putty,genuine,genuine,1,2,0,3,1,0,0,25.8,2580000
Changan,Alsvin,1.5 Lumiere DCT,2021,3,1500,Automatic,Petrol,38752,Karachi,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,genuine,1,0,0,1,1,0,0,36.75,3675000
Daihatsu,Cuore,CX Eco,2007,17,800,Manual,Petrol,279604,Lahore,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,0,0,0,0,1,0,1,4.8,480000
Daihatsu,Mira,ES,2020,4,660,Automatic,Petrol,54510,Islamabad,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,genuine,touchup_no_putty,1,0,0,1,1,0,0,25.1,2510000
MG,HS,Exclusive 1.5 Turbo,2021,3,1500,Automatic,Petrol,44603,Rawalpindi,genuine,genuine,genuine,touchup_no_putty,genuine,genuine,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,3,0,0,3,1,0,0,58.15,5815000
Hyundai,Elantra,GLS 2.0,2021,3,2000,Automatic,Petrol,35190,Islamabad,putty,genuine,replaced,touchup_no_putty,touchup_no_putty,putty,putty,putty,replaced,putty,putty,2,6,2,10,1,0,0,31.9,3190000
Honda,Civic,Reborn 1.8 Prosmatec,2006,18,1800,Automatic,Petrol,249964,Islamabad,genuine,genuine,genuine,touchup_no_putty,touchup_no_putty,genuine,touchup_no_putty,genuine,genuine,genuine,genuine,3,0,0,3,1,0,0,9.8,980000
